KOG4512	ENOG502QR38
KOG4512	ENOG502QQ3H
ENOG502QR38	ENOG502QQ3H
KOG0937	KOG1062
KOG0937	KOG0934
KOG0937	KOG1061
KOG1062	KOG0934
KOG1062	KOG1061
KOG0934	KOG1061
KOG1433	KOG1434
KOG1433	KOG2859
KOG1433	KOG1433,KOG4275
KOG1434	KOG2859
KOG1434	KOG1433,KOG4275
KOG2859	KOG1433,KOG4275
ENOG502SNW2	KOG0117
ENOG502SNW2	KOG1676
KOG0117	KOG1676
KOG3581	KOG0446
KOG3581	KOG0676
KOG3581	KOG0841
KOG3581	KOG0841
KOG3581	KOG1376
KOG3581	KOG1422
KOG0446	KOG0676
KOG0446	KOG0841
KOG0446	KOG0841
KOG0446	KOG1376
KOG0446	KOG1422
KOG0676	KOG0841
KOG0676	KOG0841
KOG0676	KOG1376
KOG0676	KOG1422
KOG0841	KOG0841
KOG0841	KOG1376
KOG0841	KOG1422
KOG0841	KOG1376
KOG0841	KOG1422
KOG1376	KOG1422
ENOG502QQ7Y	KOG2310
ENOG502QQ7Y	KOG0962
KOG2310	KOG0962
KOG2310	KOG0962
ENOG502QQ7Y	KOG2310
ENOG502QQ7Y	KOG0962
KOG2310	KOG0962
KOG3609	KOG3533
KOG3609	ENOG502R3T0
KOG3533	ENOG502R3T0
KOG3687	ENOG502QQPT
KOG3595	KOG4115
KOG3595	KOG0712
KOG3595	KOG3430
KOG3595	KOG1587
KOG3595	KOG1587
KOG3595	KOG3595
KOG3595	KOG3905
KOG3595	KOG4081
KOG4115	KOG0712
KOG4115	KOG3430
KOG4115	KOG1587
KOG4115	KOG1587
KOG4115	KOG3595
KOG4115	KOG3905
KOG4115	KOG4081
KOG0712	KOG3430
KOG0712	KOG1587
KOG0712	KOG1587
KOG0712	KOG3595
KOG0712	KOG3905
KOG0712	KOG4081
KOG3430	KOG1587
KOG3430	KOG1587
KOG3430	KOG3595
KOG3430	KOG3905
KOG3430	KOG4081
KOG1587	KOG1587
KOG1587	KOG3595
KOG1587	KOG3905
KOG1587	KOG4081
KOG1587	KOG3595
KOG1587	KOG3905
KOG1587	KOG4081
KOG3595	KOG3905
KOG3595	KOG4081
KOG3905	KOG4081
KOG0395	KOG4458,KOG4815
KOG0395	KOG1158
KOG4458,KOG4815	KOG1158
KOG4458,KOG4815	KOG1158
KOG4458,KOG4815	KOG0395
KOG1158	KOG0395
KOG4458,KOG4815	KOG3895
KOG4458,KOG4815	KOG1158
KOG3895	KOG1158
KOG2930	KOG1724
KOG2930	KOG2120
KOG2930	KOG2166
KOG1724	KOG2120
KOG1724	KOG2166
KOG2120	KOG2166
KOG2930	KOG1724
KOG2930	ENOG502RDJD
KOG2930	KOG0274
KOG1724	ENOG502RDJD
KOG1724	KOG0274
ENOG502RDJD	KOG0274
KOG4495	KOG3473
KOG4495	KOG2930
KOG4495	KOG4710
KOG3473	KOG2930
KOG3473	KOG4710
KOG2930	KOG4710
KOG1375	KOG1376
KOG1375	KOG1280
KOG1376	KOG1280
KOG1496	ENOG502QRD8
KOG1375	KOG1376
KOG1375	KOG1280
KOG1376	KOG1280
KOG2510	KOG0386
KOG2510	KOG0676
KOG2510	KOG1649
KOG2510	KOG1500
KOG2510	KOG1279
KOG2510	KOG1279
KOG2510	KOG4715
KOG2510	KOG2570
KOG2510	KOG1243
KOG0386	KOG0676
KOG0386	KOG1649
KOG0386	KOG1500
KOG0386	KOG1279
KOG0386	KOG1279
KOG0386	KOG4715
KOG0386	KOG2570
KOG0386	KOG1243
KOG0676	KOG1649
KOG0676	KOG1500
KOG0676	KOG1279
KOG0676	KOG1279
KOG0676	KOG4715
KOG0676	KOG2570
KOG0676	KOG1243
KOG1649	KOG1500
KOG1649	KOG1279
KOG1649	KOG1279
KOG1649	KOG4715
KOG1649	KOG2570
KOG1649	KOG1243
KOG1500	KOG1279
KOG1500	KOG1279
KOG1500	KOG4715
KOG1500	KOG2570
KOG1500	KOG1243
KOG1279	KOG1279
KOG1279	KOG4715
KOG1279	KOG2570
KOG1279	KOG1243
KOG1279	KOG4715
KOG1279	KOG2570
KOG1279	KOG1243
KOG4715	KOG2570
KOG4715	KOG1243
KOG2570	KOG1243
KOG0845	KOG1332
KOG0845	KOG1964
KOG0845	KOG4521
KOG0845	KOG4714
KOG0845	KOG0266
KOG0845	KOG4121
KOG0845	KOG2445
KOG0845	KOG2271
KOG1332	KOG1964
KOG1332	KOG4521
KOG1332	KOG4714
KOG1332	KOG0266
KOG1332	KOG4121
KOG1332	KOG2445
KOG1332	KOG2271
KOG1964	KOG4521
KOG1964	KOG4714
KOG1964	KOG0266
KOG1964	KOG4121
KOG1964	KOG2445
KOG1964	KOG2271
KOG4521	KOG4714
KOG4521	KOG0266
KOG4521	KOG4121
KOG4521	KOG2445
KOG4521	KOG2271
KOG4714	KOG0266
KOG4714	KOG4121
KOG4714	KOG2445
KOG4714	KOG2271
KOG0266	KOG4121
KOG0266	KOG2445
KOG0266	KOG2271
KOG4121	KOG2445
KOG4121	KOG2271
KOG2445	KOG2271
KOG3251	KOG0812
KOG3251	KOG0862
KOG3251	KOG3385
KOG3251	KOG3208
KOG3251	KOG1301
KOG0812	KOG0862
KOG0812	KOG3385
KOG0812	KOG3208
KOG0812	KOG1301
KOG0862	KOG3385
KOG0862	KOG3208
KOG0862	KOG1301
KOG3385	KOG3208
KOG3385	KOG1301
KOG3208	KOG1301
KOG3745	KOG2286
KOG3745	KOG2215
KOG3745	KOG2176
KOG3745	KOG3691
KOG3745	KOG2347
KOG3745	KOG2148
KOG3745	KOG2344
KOG2286	KOG2215
KOG2286	KOG2176
KOG2286	KOG3691
KOG2286	KOG2347
KOG2286	KOG2148
KOG2286	KOG2344
KOG2215	KOG2176
KOG2215	KOG3691
KOG2215	KOG2347
KOG2215	KOG2148
KOG2215	KOG2344
KOG2176	KOG3691
KOG2176	KOG2347
KOG2176	KOG2148
KOG2176	KOG2344
KOG3691	KOG2347
KOG3691	KOG2148
KOG3691	KOG2344
KOG2347	KOG2148
KOG2347	KOG2344
KOG2148	KOG2344
ENOG502QVUI	ENOG502QT8N
ENOG502QVUI	ENOG502QSB8
ENOG502QVUI	ENOG502S2Z3
ENOG502QT8N	ENOG502QSB8
ENOG502QT8N	ENOG502S2Z3
ENOG502QSB8	ENOG502S2Z3
ENOG502SAVP	KOG0123
KOG1126	KOG1173
KOG1126	KOG1858
KOG1126	KOG1155
KOG1126	KOG1174
KOG1126	KOG4322
KOG1126	KOG4640
KOG1126	KOG2165
KOG1173	KOG1858
KOG1173	KOG1155
KOG1173	KOG1174
KOG1173	KOG4322
